,fcn_train_mse,fcn_test_mse,fcn_num_params,ebm_train_mse,ebm_test_mse,ebm_num_params,ebm_test_score,ebm_train_score,fcn_layers,fcn_hidden_dims,fcn_nonlinearity,fcn_batch_size,ebm_feature_dim,ebm_predictor_dim,ebm_batch_size
0,0.0710298541568861,0.08408884295365236,20801,0.04733114034924622,0.07062854377846639,35426,3331.393798828125,3670.407470703125,3,100,tanh,128,100,75,64
1,0.12383793499153596,0.1484455443465462,10701,0.042408789684293145,0.0735869072370341,131626,807.279296875,707.5836181640625,2,100,tanh,64,300,75,128
2,0.05746210639082568,0.09662522988043093,68851,0.05214396467638023,0.08168765748283474,134001,8518.9755859375,8438.7041015625,4,150,relu,128,50,200,128
3,0.050771425509120865,0.06512508712393773,121801,0.049235290816129686,0.0883834953625898,273001,-527.3857421875,-639.4595947265625,4,200,tanh,64,300,200,128
4,0.05439619127168823,0.07319806851198016,182401,0.045654725707003574,0.07303619675836255,38701,1804.367431640625,2049.56787109375,3,300,tanh,64,150,50,128
5,0.05124423275248894,0.07518762193741012,121801,0.045818180355941214,0.09183074957925834,114301,5852.68798828125,5805.46240234375,4,200,relu,128,150,150,64
6,0.0646337121659589,0.0832128425125349,46201,0.051693165249744835,0.08767328816395739,51201,2133.28173828125,2312.205810546875,3,150,tanh,64,100,100,64
7,0.12832798838534218,0.1540582606428366,5401,0.05779771339311369,0.08428529590351008,78701,8575.75390625,8536.4873046875,3,50,tanh,32,50,150,32
8,0.06707987092535288,0.08320479280600798,20801,0.059220208836306236,0.08219204378024074,78701,7737.7724609375,7707.42724609375,3,100,tanh,64,50,150,128
9,0.10562505709964828,0.1343019364887741,5401,0.03753468159297765,0.06551757444287339,453601,6848.9521484375,6451.0537109375,3,50,relu,128,300,300,128
10,0.07236071049799757,0.0883314134861893,11851,0.0426969832884214,0.52179479957973,312401,10991.98828125,11016.373046875,3,75,tanh,32,100,300,32
11,0.09899255961024189,0.12113339121090591,5401,0.03679831055274837,0.06728022752408497,59001,2972.778076171875,3483.7099609375,3,50,tanh,128,200,50,32
12,0.07951772679520247,0.09201313852650127,11851,0.05476039034910446,0.1395263927105211,340201,12391.8603515625,12328.494140625,3,75,tanh,128,150,300,32
13,0.09662415091404027,0.1326644420772584,10701,0.040841123060215014,0.0681155664687306,59001,2820.43505859375,3100.971435546875,2,100,relu,64,200,50,64
14,0.0852247937294115,0.12656982890713514,41401,0.03004745612526161,0.06869093242484761,152401,5238.69384765625,5583.1162109375,2,200,relu,128,300,100,32
