,fcn_train_mse,fcn_test_mse,fcn_num_params,ebm_train_mse,ebm_test_mse,ebm_num_params,ebm_test_score,ebm_train_score,fcn_layers,fcn_hidden_dims,fcn_nonlinearity,fcn_batch_size,ebm_feature_dim,ebm_predictor_dim,ebm_batch_size
0,0.30337441530988773,0.4545998378047734,11851,0.287562828906176,0.4345556522621589,35426,-563.103759765625,-48.1070442199707,3,75,tanh,32,100,75,64
1,0.4870472156849955,0.5920645089861044,7951,0.3269915661549838,0.40946215186981194,23401,-506.0307312011719,-79.91557312011719,4,50,relu,32,100,50,32
2,0.37466882954072317,0.5452493853539363,10701,0.2868716019972952,0.46916262039139056,142276,8106.62451171875,1566.9718017578125,2,100,relu,64,75,200,32
3,0.36169410069929997,0.6046392821337803,11851,0.3561308846485026,0.4234537365799472,300376,8511.115234375,1659.618408203125,3,75,tanh,128,75,300,64
4,0.37310145498053965,0.4166970160096413,41401,0.22082212168551488,0.4529884494374608,152401,-484.82061767578125,-62.55805969238281,2,200,tanh,64,300,100,64
5,0.3970465461820465,0.5936121610417153,5401,0.20646411598487122,0.4306442789200516,131626,900.06005859375,256.4888000488281,3,50,relu,32,300,75,64
6,0.28616833591891166,0.5277097372654427,81601,0.25023232493377834,0.4652686451042342,152401,-1511.27880859375,-237.65435791015625,3,200,relu,128,300,100,32
7,0.4399079108911337,0.5451916930303629,6151,0.3281970383040778,0.47632647877216117,29026,3644.568359375,744.8212890625,2,75,relu,64,75,75,32
8,0.3760072297749041,0.4908243719001716,10701,0.20174618590324764,0.4987286990785964,453601,7817.994140625,1669.699462890625,2,100,tanh,128,300,300,64
9,0.406063563655901,0.6143092546590041,2851,0.40354546950107584,0.5412726504157545,29026,2096.417236328125,430.8299560546875,2,50,relu,128,75,75,128
10,0.2907996475824778,0.5018487943662365,20801,0.2689794850520144,0.4896418649713411,91801,-919.6113891601562,-168.17327880859375,3,100,tanh,128,200,100,64
11,0.36010747891276135,0.43699668624006166,92101,0.28517107298606087,0.4904142677735438,51976,4834.18896484375,958.1056518554688,2,300,tanh,128,150,75,64
12,0.27066501468975324,0.431494789613692,81601,0.3265463947323082,0.5021208886541632,300376,10428.169921875,2007.375,3,200,tanh,32,75,300,32
13,0.25662214364789926,0.4851916381104051,182401,0.2577924364713303,0.4389332372166493,38701,3083.17529296875,651.7551879882812,3,300,tanh,64,150,50,64
14,0.25225446346278246,0.4823183614327335,81601,0.3091081156505847,0.4407676834798639,51201,-236.8987274169922,-27.26398468017578,3,200,relu,32,100,100,32
15,0.39497943164450505,0.5785271943579984,2851,0.2570447361753165,0.41384758759304874,340201,9177.3056640625,1815.5377197265625,2,50,tanh,64,150,300,128
16,0.27760139963489033,0.4578369485469266,92101,0.2462349758961449,0.4708287423583359,273001,208.64535522460938,62.48502731323242,2,300,relu,128,300,200,128
17,0.204032146625282,0.5193380231462071,121801,0.23214001779339688,0.47465412010546343,205201,-974.2244262695312,-146.56744384765625,4,200,tanh,32,300,150,32
18,0.20926705208129634,0.6629137637158253,68851,0.3201994637804476,0.4673106024647223,51976,588.075439453125,137.7715301513672,4,150,tanh,64,150,75,128
19,0.4027479069470441,0.8090441981836147,7951,0.254953423928223,0.4003717196577557,152401,447.0171813964844,148.2166748046875,4,50,tanh,128,300,100,128
20,0.33071417279340476,0.5440236398292492,41401,0.26863188988795556,0.5344399930670642,453601,5696.39794921875,1119.6492919921875,2,200,relu,32,300,300,128
21,0.3591372968156357,0.5488831295853065,10701,0.3445199604246853,0.5098335790423715,35426,1944.149658203125,404.60693359375,2,100,relu,32,100,75,128
22,0.18623243260725328,0.6384247068990929,272701,0.3530373625054436,0.5183473331183998,44176,5887.01416015625,1145.1702880859375,4,300,tanh,64,75,100,32
23,0.3567342072533334,0.6222497149263858,5401,0.26016148990246185,0.4786685679733273,373001,6544.04541015625,1298.7987060546875,3,50,tanh,128,200,300,128
24,0.38056622723164296,0.7346281624199235,5401,0.2549361228344452,0.6081563116487217,174601,8869.01953125,1756.3681640625,3,50,relu,64,150,200,64
25,0.27391405492042514,0.6025698970046125,68851,0.45868232471093573,0.6835209563099037,23876,3126.615478515625,627.7261352539062,4,150,relu,32,50,75,128
26,0.2996457917893781,0.6013673008248073,30901,0.2705703606471208,0.42534724617963343,340201,9971.9541015625,1933.203369140625,4,100,tanh,64,150,300,32
