,fcn_train_mse,fcn_test_mse,fcn_num_params,ebm_train_mse,ebm_test_mse,ebm_num_params,ebm_test_score,ebm_train_score,fcn_layers,fcn_hidden_dims,fcn_nonlinearity,fcn_batch_size,ebm_feature_dim,ebm_predictor_dim,ebm_batch_size
0,0.3180112752900996,0.43638773455297003,30901,0.30520011889596044,1.3547096884936238,51201,8576.7431640625,4234.44287109375,4,100,tanh,64,100,100,32
1,0.29854221912744705,0.43950771464230437,68851,0.31250645521878667,0.4012965326665547,44176,5631.45458984375,2781.594970703125,4,150,tanh,64,75,100,64
2,0.291991330694903,0.44666417157036437,30901,0.3988931103451015,0.4243733487340989,300376,10048.705078125,4936.126953125,4,100,tanh,128,75,300,128
3,0.29219172927272835,0.355011371387308,81601,0.37453467817169217,0.39169115564002666,134001,7769.6396484375,3862.79833984375,3,200,relu,64,50,200,128
4,0.29560694854518055,0.4024929557954955,30901,0.28949222524832685,0.4063216787418205,29026,6712.1513671875,3336.3037109375,4,100,relu,32,75,75,32
5,0.256039925670871,0.46996083200268135,272701,0.25590326705424143,0.41087591460178846,139601,8031.650390625,3852.5595703125,4,300,tanh,32,200,150,32
6,0.2562250650233015,0.3837516742026527,272701,0.2691317471098119,0.38716501605510445,152401,-461.4537353515625,-148.32052612304688,4,300,relu,32,300,100,64
7,0.4571271688339912,0.43744707678081807,2851,0.3117280387186784,0.4568849063882482,94001,8219.935546875,4043.583984375,2,50,tanh,64,100,150,64
8,0.3370537344466818,0.3872956372624774,92101,0.3332376291505106,0.3678090070566962,51976,1828.179931640625,896.5548706054688,2,300,relu,64,150,75,128
9,0.33232776326543,0.40538755771251744,11851,0.2885352986348918,0.37063390929644774,73526,-909.2465209960938,-386.0869140625,3,75,tanh,32,200,75,64
10,0.34441925909524,0.37918844821202996,92101,0.28391443538490296,0.3909547371335825,312401,10281.1201171875,5076.47265625,2,300,relu,128,100,300,32
11,0.39804233625648827,0.3808879050017049,10701,0.3575033027500768,0.377897915853073,142276,8089.587890625,3993.970947265625,2,100,tanh,32,75,200,128
12,0.3150342930986642,0.4214066461625733,17551,0.3390863495318831,0.40071849224525324,134001,9235.3134765625,4511.49560546875,4,75,relu,64,50,200,64
13,0.37808945607325967,0.45219745485414026,11851,0.36941479218639633,0.39493285257380256,151801,7898.142578125,3878.18212890625,3,75,relu,64,100,200,128
14,0.3672530802842195,0.4306158231655641,20801,0.30992413327076607,0.39706551141894747,312401,9734.7294921875,4811.41650390625,3,100,tanh,32,100,300,64
15,0.33044560241906495,0.3775160885684553,41401,0.26432698651241116,0.4188374811777506,73526,2277.433349609375,1095.802734375,2,200,relu,32,200,75,32
16,0.3997527522096956,0.39261900387536625,41401,0.2676764175550285,0.42614444767248805,273001,6162.47705078125,2962.42822265625,2,200,tanh,32,300,200,64
17,0.3212902850787332,0.37699031187233356,81601,0.33294224984344134,0.36930336751715587,35426,-617.2747192382812,-198.45274353027344,3,200,tanh,128,100,75,64
18,0.33717014078437196,0.43545781060535815,46201,0.2551017460550033,0.36915033941076275,114601,2259.123291015625,1055.3131103515625,3,150,tanh,32,300,50,64
