,fcn_train_mse,fcn_test_mse,fcn_num_params,ebm_train_mse,ebm_test_mse,ebm_num_params,ebm_test_score,ebm_train_score,fcn_layers,fcn_hidden_dims,fcn_nonlinearity,fcn_batch_size,ebm_feature_dim,ebm_predictor_dim,ebm_batch_size
427,0.02716877541585787,0.06960817311798875,82001,0.027860994886509217,0.069942562708126,29176,7548.07080078125,7564.52783203125,3,200,tanh,32,75,75,128
428,0.02422935326287958,0.08659594780307672,31101,0.013721772367914832,0.05406857871155606,132226,4694.79150390625,4702.10498046875,4,100,tanh,128,300,75,128
429,0.02696293899163702,0.07759470552392134,82001,0.00984964851237993,0.05452418007551562,92201,10765.330078125,10851.947265625,3,200,tanh,64,200,100,32
430,0.016887426471088485,0.0867725062696447,273301,0.012869527648792017,0.060451270169680514,92201,8761.474609375,8727.90234375,4,300,relu,32,200,100,64
431,0.027817416282513902,0.11319430977918339,23851,0.0067631466623128975,0.0697299193927738,373401,30979.494140625,30718.146484375,2,150,relu,128,200,300,32
432,0.031740066524054776,0.10489337384075982,31101,0.015876539865543635,0.06040337259170058,52276,5723.67822265625,5892.169921875,4,100,relu,64,150,75,64
433,0.025492997354188578,0.07159690451745203,69151,0.01248080239668701,0.056024246920337056,59401,9451.9912109375,9767.966796875,4,150,tanh,32,200,50,32
434,0.02465155731166106,0.07692495220197265,92701,0.0143637950548688,0.06076947927912796,39001,4799.06005859375,5051.59130859375,2,300,tanh,128,150,50,64
435,0.0378887141234554,0.09842323114723138,5501,0.024639924087145076,0.07426633658028037,134101,16117.9033203125,16355.486328125,3,50,tanh,64,50,200,32
436,0.03367289590877029,0.07137480534935582,5501,0.011061372023645252,0.06163552841495661,205801,8067.576171875,8186.63818359375,3,50,tanh,32,300,150,64
437,0.03287900575574146,0.07240162189967786,23851,0.035495596898314566,0.08652438214614404,142426,13706.4853515625,13705.4345703125,2,150,tanh,128,75,200,128
438,0.022174450219773302,0.0663077397695931,122201,0.01941456934349521,0.06397183754400841,92201,9151.6044921875,9236.23046875,4,200,tanh,128,200,100,128
439,0.03215940912899248,0.07902568177221739,10901,0.025494194302459118,0.0730315116276454,38501,13661.4326171875,13513.087890625,2,100,relu,32,50,100,32
440,0.01707397328964341,0.07874196801281999,183001,0.021802278997820702,0.061192814357628085,17776,4674.91943359375,4701.56689453125,3,300,relu,128,75,50,64
441,0.03194373115794467,0.06870892844529906,12001,0.016605879156332715,0.058488660484468644,153001,7154.43505859375,7137.3427734375,3,75,tanh,64,300,100,128
442,0.04693646385847181,0.10313999241651638,12001,0.014547073276385413,0.05386597994435104,273601,11219.2841796875,11402.5810546875,3,75,tanh,32,300,200,128
443,0.018899810830596796,0.06670099355812215,122201,0.018147762663080547,0.060843654515231015,140001,12422.4189453125,12480.6484375,4,200,relu,32,200,150,128
444,0.025632073010233455,0.08152142099601176,23851,0.02175952273782867,0.05990545588012257,312601,16134.828125,16435.048828125,2,150,relu,64,100,300,64
445,0.04600757367162684,0.13103866286069954,8051,0.0339575353377889,0.08041342797497072,44326,8405.31640625,8443.4287109375,4,50,relu,32,75,100,128
446,0.028558369161277335,0.07979852000339745,69151,0.008237855636939517,0.05432497872295469,115201,9839.15625,9685.8115234375,4,150,tanh,128,300,50,32
447,0.027432756029560964,0.10321478105003923,8051,0.012332653569741713,0.05410673162837961,454201,12274.4775390625,12622.3056640625,4,50,tanh,128,300,300,128
448,0.03909512891286017,0.09860315187089952,6301,0.020895116080546464,0.057365491430835594,340501,14020.1455078125,13887.783203125,2,75,relu,32,150,300,128
449,0.028711843249770226,0.07686233454414612,21001,0.01878034854175496,0.10556720487101062,51401,15418.9541015625,15298.7685546875,3,100,tanh,128,100,100,32
450,0.02160695110404771,0.08922598932208177,31101,0.019364570623969037,0.06044307846200685,94201,17016.353515625,16872.4140625,4,100,tanh,64,100,150,32
451,0.01706632594302823,0.09903978634894389,122201,0.0391386761332285,0.08120463711164169,13201,6655.517578125,6715.66943359375,4,200,relu,64,50,50,128
452,0.04687173270160396,0.09296018286220549,5501,0.03584733726995384,0.07713180175906183,85876,13792.0966796875,13735.615234375,3,50,tanh,128,75,150,128
453,0.056060818887429906,0.1286672740363245,5501,0.01640607787123939,0.056966613297152476,140001,14549.1875,14592.4208984375,3,50,relu,64,200,150,32
454,0.028278568691967553,0.10485784651635668,31101,0.020428131413787038,0.062340050062981586,29176,13550.0556640625,13635.484375,4,100,relu,32,75,75,64
455,0.021570236042991534,0.08520497987953692,92701,0.024658969336610742,0.06410872342796149,13201,11072.736328125,11147.1953125,2,300,relu,64,50,50,32
456,0.02332966606453734,0.07363988790753635,92701,0.01760010651955389,0.060298386989225294,174901,14821.6015625,14778.279296875,2,300,relu,128,150,200,64
457,0.028132393008394863,0.0852938872067566,41801,0.014811678784814925,0.05046657837229279,69301,6043.7705078125,6190.02490234375,2,200,tanh,32,150,100,64
458,0.018820978113208233,0.08264782564746335,183001,0.053183361676040354,0.10059130878596946,134101,15803.490234375,15688.7578125,3,300,relu,32,50,200,64
459,0.040175798627426894,0.07720344278070276,2951,0.014544869960263279,0.061869959743097065,454201,20774.74609375,20297.974609375,2,50,tanh,32,300,300,64
460,0.03176032668579862,0.06138658038336783,12001,0.017391850004970573,0.05947444669539462,340501,16173.5302734375,16080.9228515625,3,75,tanh,128,150,300,64
461,0.030061179783794294,0.08878636889441209,21001,0.010285305787727995,0.05140906170836868,373401,18982.328125,19355.240234375,3,100,relu,128,200,300,64
462,0.031822479292387726,0.0923351347935372,17701,0.014516758992420668,0.05664830933135395,115201,5194.10107421875,5774.05419921875,4,75,tanh,128,300,50,128
463,0.030015454559489268,0.07955231059185493,23851,0.018221540805229846,0.06987993353460761,142426,16875.91796875,16944.751953125,2,150,tanh,64,75,200,32
464,0.03386227567136304,0.1038869672938953,12001,0.024503195087187787,0.05898712967467299,44326,13161.4873046875,13134.4638671875,3,75,relu,128,75,100,64
465,0.022864783708489916,0.06939457031004719,92701,0.025758548139461036,0.06185976482632007,23601,5362.77685546875,5305.99560546875,2,300,relu,32,100,50,128
466,0.03269139472103447,0.09403680954866377,10901,0.012569939141359709,0.05995208263539428,202801,18262.89453125,18076.212890625,2,100,relu,128,200,200,32
467,0.025643850391377527,0.06752479276468651,92701,0.017499415167215097,0.058901695047485485,202801,13121.2744140625,13115.53515625,2,300,tanh,32,200,200,128
